SRS QCM200 Data File
Data Taken on 03.05.2023 at 10:54:21
Tag Definitions
Zero Rel F        = 1
Zero Rel R        = 2
Zero Rel F and R  = 3
User Tag          = 4
Begining of File  = 5

Notes:


Frequency	Resistance	Delta F	Delta R	Delta Mass	Time (s)	Tag
+05.004223400E+6	+03.272000E+2	+03.200000E+0	+01.460000E+0	-05.653710E-2	+02.173680E+2	0
+05.004223500E+6	+03.272800E+2	+03.300000E+0	+01.540000E+0	-05.830389E-2	+02.184440E+2	0
+05.004223700E+6	+03.273200E+2	+03.500000E+0	+01.580000E+0	-06.183746E-2	+02.195240E+2	0
+05.004223600E+6	+03.273200E+2	+03.400000E+0	+01.580000E+0	-06.007067E-2	+02.205890E+2	0
+05.004223800E+6	+03.273400E+2	+03.600000E+0	+01.600000E+0	-06.360424E-2	+02.216690E+2	0
+05.004223800E+6	+03.273700E+2	+03.600000E+0	+01.630000E+0	-06.360424E-2	+02.227420E+2	0
+05.004223800E+6	+03.273700E+2	+03.600000E+0	+01.630000E+0	-06.360424E-2	+02.238190E+2	0
+05.004223700E+6	+03.273800E+2	+03.500000E+0	+01.640000E+0	-06.183746E-2	+02.248930E+2	0
+05.004223600E+6	+03.273500E+2	+03.400000E+0	+01.610000E+0	-06.007067E-2	+02.259710E+2	0
+05.004223700E+6	+03.272900E+2	+03.500000E+0	+01.550000E+0	-06.183746E-2	+02.270540E+2	0
+05.004223900E+6	+03.273600E+2	+03.700000E+0	+01.620000E+0	-06.537102E-2	+02.281220E+2	0
+05.004223500E+6	+03.273500E+2	+03.300000E+0	+01.610000E+0	-05.830389E-2	+02.291890E+2	0
+05.004223100E+6	+03.272300E+2	+02.900000E+0	+01.490000E+0	-05.123675E-2	+02.302660E+2	0
+05.004222900E+6	+03.271600E+2	+02.700000E+0	+01.420000E+0	-04.770318E-2	+02.313410E+2	0
+05.004222800E+6	+03.271000E+2	+02.600000E+0	+01.360000E+0	-04.593640E-2	+02.324170E+2	0
+05.004223100E+6	+03.271700E+2	+02.900000E+0	+01.430000E+0	-05.123675E-2	+02.334910E+2	0
+05.004223600E+6	+03.272800E+2	+03.400000E+0	+01.540000E+0	-06.007067E-2	+02.345720E+2	0
+05.004224100E+6	+03.273400E+2	+03.900000E+0	+01.600000E+0	-06.890459E-2	+02.356360E+2	0
+05.004224200E+6	+03.273800E+2	+04.000000E+0	+01.640000E+0	-07.067138E-2	+02.367130E+2	0
+05.004224400E+6	+03.274600E+2	+04.200000E+0	+01.720000E+0	-07.420495E-2	+02.377910E+2	0
+05.004224500E+6	+03.275400E+2	+04.300000E+0	+01.800000E+0	-07.597173E-2	+02.388740E+2	0
+05.004224600E+6	+03.276000E+2	+04.400000E+0	+01.860000E+0	-07.773852E-2	+02.399440E+2	0
+05.004224800E+6	+03.276900E+2	+04.600000E+0	+01.950000E+0	-08.127208E-2	+02.410190E+2	0
+05.004224800E+6	+03.277700E+2	+04.600000E+0	+02.030000E+0	-08.127208E-2	+02.420850E+2	0
+05.004225000E+6	+03.278400E+2	+04.800000E+0	+02.100000E+0	-08.480565E-2	+02.431610E+2	0
+05.004224800E+6	+03.278600E+2	+04.600000E+0	+02.120000E+0	-08.127208E-2	+02.442360E+2	0
+05.004224800E+6	+03.278300E+2	+04.600000E+0	+02.090000E+0	-08.127208E-2	+02.453120E+2	0
+05.004224600E+6	+03.278000E+2	+04.400000E+0	+02.060000E+0	-07.773852E-2	+02.463940E+2	0
+05.004224600E+6	+03.277000E+2	+04.400000E+0	+01.960000E+0	-07.773852E-2	+02.474740E+2	0
+05.004224400E+6	+03.276900E+2	+04.200000E+0	+01.950000E+0	-07.420495E-2	+02.485460E+2	0
+05.004224100E+6	+03.276400E+2	+03.900000E+0	+01.900000E+0	-06.890459E-2	+02.496200E+2	0
+05.004223600E+6	+03.275400E+2	+03.400000E+0	+01.800000E+0	-06.007067E-2	+02.506950E+2	0
+05.004223800E+6	+03.275100E+2	+03.600000E+0	+01.770000E+0	-06.360424E-2	+02.517740E+2	0
+05.004223800E+6	+03.275300E+2	+03.600000E+0	+01.790000E+0	-06.360424E-2	+02.528500E+2	0
+05.004223800E+6	+03.275600E+2	+03.600000E+0	+01.820000E+0	-06.360424E-2	+02.539170E+2	0
+05.004223700E+6	+03.275200E+2	+03.500000E+0	+01.780000E+0	-06.183746E-2	+02.550040E+2	0
+05.004223600E+6	+03.274700E+2	+03.400000E+0	+01.730000E+0	-06.007067E-2	+02.560670E+2	0
+05.004223900E+6	+03.274900E+2	+03.700000E+0	+01.750000E+0	-06.537102E-2	+02.571470E+2	0
+05.004223900E+6	+03.275400E+2	+03.700000E+0	+01.800000E+0	-06.537102E-2	+02.582300E+2	0
+05.004224100E+6	+03.275600E+2	+03.900000E+0	+01.820000E+0	-06.890459E-2	+02.593020E+2	0
+05.004224100E+6	+03.275800E+2	+03.900000E+0	+01.840000E+0	-06.890459E-2	+02.603770E+2	0
+05.004224100E+6	+03.276200E+2	+03.900000E+0	+01.880000E+0	-06.890459E-2	+02.614500E+2	0
+05.004224200E+6	+03.276400E+2	+04.000000E+0	+01.900000E+0	-07.067138E-2	+02.625210E+2	0
