BindingEnergy,Scan1
398.36,1398
398.96000000000004,1447
399.64,1462
400.22,1403
400.77,1442
401.38,1358
401.38,1516
402.02,1428
402.64,1378
403.19000000000005,1475
403.79999999999995,1406
403.80999999999995,1511
404.42999999999995,1406
405.05999999999995,1451
405.63,1401
406.20000000000005,1507
406.84000000000003,1435
406.84000000000003,1512
407.45000000000005,1550
408.03,1569
408.64,1522
409.27,1528
409.87,1473
409.89,1499
410.46000000000004,1524
411.02,1519
411.67999999999995,1523
412.25,1541
412.27,1470
412.84000000000003,1529
413.41999999999996,1558
414.07000000000005,1443
414.71000000000004,1506
415.25,1573
415.25,1490
415.84000000000003,1432
416.45000000000005,1528
417.08000000000004,1545
417.66999999999996,1440
417.65,1573
418.23,1492
418.87,1533
419.48,1574
420.05999999999995,1476
420.64,1472
420.63,1458
421.28,1592
421.89,1449
422.46000000000004,1555
423.04999999999995,1511
423.03999999999996,1517
423.67999999999995,1529
424.28999999999996,1545
424.89,1478
425.45000000000005,1616
426.1,1555
426.09000000000003,1574
426.72,1529
427.35,1560
427.91999999999996,1602
428.53999999999996,1463
428.54999999999995,1633
429.15,1678
429.75,1616
430.29999999999995,1599
430.94000000000005,1590
431.57000000000005,1639
431.55999999999995,1539
432.14,1638
432.72,1573
433.34000000000003,1628
433.96000000000004,1635
433.96000000000004,1580
434.53999999999996,1612
435.12,1660
435.71000000000004,1589
436.35,1687
436.95000000000005,1635
436.95000000000005,1472
437.52,1555
438.13,1654
438.77,1582
439.33000000000004,1608
439.36,1638
439.92999999999995,1609
440.53999999999996,1621
441.16999999999996,1614
441.76,1640
442.32000000000005,1663
442.33000000000004,1641
442.96000000000004,1710
443.59000000000003,1643
444.16999999999996,1637
444.77,1603
444.74,1587
445.35,1630
445.98,1636
446.55999999999995,1688
447.12,1563
447.67999999999995,1630
447.65999999999997,1675
448.27,1536
448.89,1750
449.4,1720
449.95000000000005,1654
450.58000000000004,1629
450.58000000000004,1553
451.16999999999996,1725
451.73,1698
452.28999999999996,1684
452.88,1737
452.88,1653
453.46000000000004,1628
454.0,1621
454.53999999999996,1588
455.14,1597
455.77,1768
455.78999999999996,1741
456.37,1662
456.92999999999995,1668
457.53,1631
458.16999999999996,1659
458.17999999999995,1790
458.78,1694
459.34000000000003,1653
459.95000000000005,1623
460.61,1668
461.23,1714
