Scans: 1	Points: 2200	time: 333.000000
Energy(calc)	Energy(meas)	Sum	Scan1
872	863.47	2050	2050
871.5	862.87	2127	2127
871	862.25	2139	2139
870.5	862.3	2168	2168
870	861.63	2043	2043
869.5	861.03	2110	2110
869	860.43	2027	2027
868.5	859.81	1997	1997
868	859.19	2098	2098
867.5	859.24	2231	2231
867	858.6	2170	2170
866.5	857.95	2151	2151
866	857.4	2098	2098
865.5	856.77	2024	2024
865	856.74	2152	2152
864.5	856.12	2055	2055
864	855.5	2061	2061
863.5	854.88	2071	2071
863	854.26	2110	2110
862.5	853.69	2098	2098
862	853.65	2039	2039
861.5	853.08	2144	2144
861	852.49	2071	2071
860.5	851.85	1999	1999
860	851.25	2104	2104
859.5	851.25	1977	1977
859	850.67	2156	2156
858.5	850.08	2100	2100
858	849.48	2036	2036
857.5	848.87	2021	2021
857	848.27	2014	2014
856.5	848.28	2005	2005
856	847.7	2015	2015
855.5	847.08	2061	2061
855	846.46	2111	2111
854.5	845.87	2078	2078
854	845.86	2015	2015
853.5	845.28	2099	2099
853	844.69	1919	1919
852.5	844.04	2135	2135
852	843.44	2054	2054
851.5	842.88	2030	2030
851	842.86	2152	2152
850.5	842.24	2043	2043
850	841.63	1955	1955
849.5	841.05	2073	2073
849	840.48	2064	2064
848.5	840.47	2132	2132
848	839.86	2081	2081
847.5	839.22	1924	1924
847	838.65	2014	2014
846.5	838.07	2000	2000
846	837.44	2022	2022
845.5	837.46	2087	2087
845	836.82	1978	1978
844.5	836.21	2089	2089
844	835.64	1995	1995
843.5	835.04	2049	2049
843	834.38	2041	2041
842.5	834.43	2065	2065
842	833.78	1982	1982
841.5	833.25	2143	2143
841	832.62	2044	2044
840.5	832	2047	2047
840	831.99	2022	2022
839.5	831.4	2077	2077
839	830.85	1973	1973
838.5	830.22	2040	2040
838	829.6	2103	2103
837.5	829	2125	2125
837	828.98	2059	2059
836.5	828.44	2005	2005
836	827.85	1975	1975
835.5	827.19	2034	2034
835	826.61	2130	2130
834.5	826.59	2041	2041
834	825.97	1969	1969
833.5	825.43	2027	2027
833	824.78	2054	2054
832.5	824.18	2104	2104
832	823.59	2072	2072
831.5	823.61	2051	2051
831	822.99	1996	1996
830.5	822.34	2060	2060
830	821.78	2037	2037
829.5	821.19	1993	1993
829	821.19	2046	2046
828.5	820.6	2010	2010
828	819.98	2024	2024
827.5	819.37	2052	2052
827	818.77	2067	2067
826.5	818.21	2023	2023
826	818.18	2060	2060
825.5	817.53	2116	2116
825	816.93	2050	2050
824.5	816.34	2132	2132
824	815.72	2033	2033
823.5	815.75	2023	2023
823	815.1	2033	2033
822.5	814.47	1984	1984
822	813.93	2001	2001
821.5	813.35	2105	2105
821	812.69	2067	2067
820.5	812.72	2071	2071
820	812.13	2017	2017
819.5	811.53	2058	2058
819	810.96	1975	1975
818.5	810.33	2006	2006
818	810.3	2131	2131
817.5	809.7	2094	2094
